,Gender,Rank,Years_in_Rank,Degree,Degree_Age,Salary,Experience
1,male,full,25,doctorate,35,36350,10-25yrs
2,male,full,13,doctorate,22,35350,10-25yrs
3,male,full,10,doctorate,23,28200,0-10yrs
4,female,full,7,doctorate,27,26775,0-10yrs
5,male,full,19,masters,30,33696,10-25yrs
6,male,full,16,doctorate,21,28516,10-25yrs
7,female,full,0,masters,32,24900,0-10yrs
8,male,full,16,doctorate,18,31909,10-25yrs
9,male,full,13,masters,30,31850,10-25yrs
10,male,full,13,masters,31,32850,10-25yrs
11,male,full,12,doctorate,22,27025,10-25yrs
12,male,associate,15,doctorate,19,24750,10-25yrs
13,male,full,9,doctorate,17,28200,0-10yrs
14,male,associate,9,masters,27,23712,0-10yrs
15,male,full,9,doctorate,24,25748,0-10yrs
16,male,full,7,doctorate,15,29342,0-10yrs
17,male,full,13,doctorate,20,31114,10-25yrs
18,male,associate,11,masters,14,24742,10-25yrs
19,male,associate,10,masters,15,22906,0-10yrs
20,male,full,6,masters,21,24450,0-10yrs
21,male,assistant,16,masters,23,19175,10-25yrs
22,male,associate,8,masters,31,20525,0-10yrs
23,male,full,7,doctorate,13,27959,0-10yrs
24,female,full,8,doctorate,24,38045,0-10yrs
25,male,associate,9,doctorate,12,24832,0-10yrs
26,male,full,5,doctorate,18,25400,0-10yrs
27,male,associate,11,doctorate,14,24800,10-25yrs
28,female,full,5,doctorate,16,25500,0-10yrs
29,male,associate,3,masters,7,26182,0-10yrs
30,male,associate,3,masters,17,23725,0-10yrs
31,female,assistant,10,masters,15,21600,0-10yrs
32,male,associate,11,masters,31,23300,10-25yrs
33,male,assistant,9,masters,14,23713,0-10yrs
34,female,associate,4,masters,33,20690,0-10yrs
35,female,associate,6,masters,29,22450,0-10yrs
36,male,associate,1,doctorate,9,20850,0-10yrs
37,female,assistant,8,doctorate,14,18304,0-10yrs
38,male,assistant,4,doctorate,4,17095,0-10yrs
39,male,assistant,4,doctorate,5,16700,0-10yrs
40,male,assistant,4,doctorate,4,17600,0-10yrs
41,male,assistant,3,doctorate,4,18075,0-10yrs
42,male,assistant,3,masters,11,18000,0-10yrs
43,male,associate,0,doctorate,7,20999,0-10yrs
44,female,assistant,3,doctorate,3,17250,0-10yrs
45,male,assistant,2,doctorate,3,16500,0-10yrs
46,male,assistant,2,doctorate,1,16094,0-10yrs
47,female,assistant,2,doctorate,6,16150,0-10yrs
48,female,assistant,2,doctorate,2,15350,0-10yrs
49,male,assistant,1,doctorate,1,16244,0-10yrs
50,female,assistant,1,doctorate,1,16686,0-10yrs
51,female,assistant,1,doctorate,1,15000,0-10yrs
52,female,assistant,0,doctorate,2,20300,0-10yrs
